,date,content
0,1984-01-09,"First Scud-B missile test firing.[8]
"
1,1988-01-09,"Operational deployment of Scud-B and Scud-C missiles.[8]
"
2,1990-01-09,"First Nodong missile test.[8][9]
"
3,1993-01-09,"1993 North Korean missile test – (May 29/30, 1993) – Nodong
"
4,1998-01-09,"North Korea fires off its first ballistic missile, the Unha-1 rocket, also known as the Taepodong-1 missile, from the launch site of Musudan-ri in North Hamgyong Province.[10]
"
5,1999-01-09,"North Korea agrees to a moratorium on long-range missile tests.[11]
"
6,2002-01-09,"North Korea pledges to extend moratorium on missile tests beyond 2003.
"
7,2004-01-09,"North Korea reaffirms moratorium.[12]
"
8,2005-01-09,"North Korea fires short-range missile into Sea of Japan.[13]
"
9,2006-07-05,"2006 North Korean missile test – Taepodong-2 failed[10]
"
10,2009-04-05,"Failed orbit of the Kwangmyongsong-2 satellite aboard an Unha-2 carrier rocket
"
11,2009-07-04,"2009 North Korean missile test
"
12,2012-04-13,"Failed launch of the Kwangmyŏngsŏng-3 satellite aboard an Unha-3 carrier rocket
"
13,2012-12-12,"Successful launch of the Kwangmyŏngsŏng-3 Unit 2 satellite aboard a three-stage rocket[10]
"
14,2013-05-09,"2013 North Korean missile tests (part of 2013 Korean crisis)
"
15,2014-03-09,"2014 North Korean missile tests including Nodong, success[14]
"
16,2015-05-09,"North Korea claims to launch a missile from a submarine[15][10]
"
17,2016-02-07,"Successful launch of the Kwangmyŏngsŏng-4 satellite
"
18,2016-04-09,"Test of engine designed for an intercontinental ballistic missile[16]
"
19,2016-08-24,"North Korea claims to launch a Pukkuksong-1[17] missile capable of striking the United States.[18] The missile is a Submarine-launched ballistic missile.[18]
"
20,2016-10-15,"Failed North Korean ballistic missile launch –[19]
"
21,2016-10-19,"Failed launch of an intermediate-range missile[20]
"
22,2017-02-11,"North Korea test-fired a Pukkuksong-2 missile over the Sea of Japan. This was the first launch of the new medium-range ballistic missile.[21][22][10]
"
23,2017-03-06,"North Korea launches four ballistic missiles from the Tongchang-ri launch site in the northwest.[23] Some flew 620 mi (1,000 km) before falling into the Sea of Japan.[24][10]
"
24,2017-04-04,"North Korea test-fired a medium-range ballistic missile from its eastern port of Sinpo into the Sea of Japan[25][26][10]
"
25,2017-04-15,"North Korea test-fired an unidentified land-based missile from the naval base in Sinpo but it exploded almost immediately after the takeoff.[27][28][29][30]
"
26,2017-04-28,"North Korea test-fired an unidentified missile from Pukchang airfield.[31][32] The missile, believed to be a medium-range[33] KN-17 ballistic missile,[31] faltered and broke apart minutes after liftoff.[33][34][35]
"
27,2017-05-13,"North Korea test-fired a Hwasong-12[36] missile from a test site in the area of Kusong.[37]  The missile, later revealed to be an intermediate range ballistic missile,[38] traveled 30 minutes,[39] reached an altitude of more than 2,111.5 km, and flew a horizontal distance of 789 km (489 miles), before falling into the Sea of Japan.[38] Such a missile would have a range of at least 4,000, reaching Guam, to 6,000 km.[37][36]
"
28,2017-05-21,"North Korea test-fired another Pukkuksong-2 medium-range ballistic missile from Pukchang airfield,[40][41] which traveled approximately 500 km (300 miles) before falling into the Sea of Japan.[42] The missile landed about 350 km (217 miles) from North Korea's east coast.[42]
"
29,2017-05-29,"North Korea fired a short range ballistic missile into the Sea of Japan. It traveled 450 km.[43]
"
30,2017-06-08,"North Korea fired several missiles into the Sea of Japan. They are believed to be anti-ship missiles.[44] The South Korean military said the launches show the reclusive regime's ""precise targeting capability.""[45]
"
31,2017-06-23,"North Korea tested a new rocket engine that could possibly be fitted to an intercontinental ballistic missile.[46] This engine was later believed to be for the second stage of the Hwasong-15, first flown later in 2017.[47][48]
"
32,2017-07-04,"North Korea tested its first intercontinental ballistic missile (ICBM) named Hwasong-14 on July 4.[49][50] It launched from the Panghyon Aircraft Factory 8 km southeast of Panghyon Airport.[51] It was aimed straight up at a lofted trajectory and reached more than 2,500 km into space.[52] It landed 37 minutes later,[53] more than 930 km from its launch site,[54] into Japan's exclusive economic zone.[55] Aiming long, the missile would have traveled 7,000–8,000 km or more, reaching Alaska, Hawaii, and possibly Seattle.[53][56][57][58][59] Its operational range would be farther, bringing a 500 kg payload to targets in most of the contiguous United States 9,700 km away.[60][61][62]
"
33,2017-07-28,"The 14th missile test carried out by North Korea in 2017 was another ICBM launched at 23:41 North Korea time (15:41 GMT) from Chagang Province in the north of the country on July 28, 2017. Los Angeles, Denver, Chicago, Boston, and New York City appear to be within range.[63] The missile's reentry vehicle (RV) was seen by people in Japan as it entered the atmosphere and landed near the northernmost Japanese island, Hokkaido.[64][65] Analysis later revealed that the RV broke up on re-entry; further testing would be required.[66] The CIA made an assessment expecting adequate performance of the RV under the different stresses of a shallower trajectory towards the continental US.[67]
"
34,2017-08-26,"North Korea test-fired three short-range ballistic missiles from the Kangwon Province on August 26. Two travel approximately 250 kilometers in a northeastern direction and one explodes immediately after launch.[68]
"
35,2017-08-29,"On August 29, 2017, at 6 AM local time, North Korea launched a ballistic missile over Northern Japan.[69] The missile's short and low trajectory and its breakup into three pieces is consistent with the failure of a heavy post-boost vehicle.[70]
"
36,2017-09-15,"North Korea launched a ballistic missile on September 15 from Sunan airfield. It reached a height of 770 km and flew a distance of 3,700 km for 17 minutes over Hokkaido before landing in the Pacific.[71]
"
37,2017-11-28,"North Korea launched an ICBM from the vicinity of Pyongsong at 1:30pm EST/3:00am Pyongyang time. The rocket traveled for 50 minutes and reached 2800 miles (4,500 km) in height, both of which were new milestones. The missile flew 600 miles (1,000 km) east into the Sea of Japan; unlike summer launches, the Japanese government did not issue cellphone alerts to warn its citizens. North Korea called it a Hwasong-15 missile. Its potential range appears to be more than 8,000 miles (13,000 km), able to reach Washington and the rest of the continental United States.[72][73] Much about the missile is unknown. The missile might have been fitted with a mock warhead to increase its range, in which case the maximum missile range while carrying a heavy warhead might be shorter than 13,000 km. Based on satellite imagery, some experts believe that North Korea may now be able to fuel missiles horizontally, shortening the delay between when a missile becomes visible to when it can be launched.[72] The rocket is believed to have broken up on re-entry into the atmosphere.[74]
"
38,2019-05-04,"North Korea launched several short-range projectiles from the vicinity of Wonsan on the country's east coast,[75] initial speculation as possibly a Russian Iskander missile which can make course corrections during its flight.[76] Later designated as KN-23.[77]
"
39,2019-05-09,"North Korea launched two short-range ballistic missiles[76] from the vicinity of Sinori in North Pyongan Province (launch area also, in another source, identified as Kusong[76]) at 4:29 p.m. and 4:49 p.m. local time.[78]
"
40,2019-07-25,"North Korea launched two short-range ballistic missiles, believed to be of a new design.[79] Demonstrated maximum range is 690 km.[80]
"
41,2019-07-31,"North Korea launched ""several"" short-range ballistic missiles.[81]
"
42,2019-08-02,"North Korea launched two short-range ballistic missiles at 2:59 a.m. and 3:23 a.m. local time.[82]
"
43,2019-08-24,"North Korea launched two short-range ballistic missiles from Sondok in South Hamgyong Province. Both fell in the Sea of Japan.[83]
"
44,2019-09-10,"North Korea launched two short-range projectiles from Kaechon shortly after proposing to resume denuclearization negotiations with the US. Both the projectiles fell into the sea off the North's east coast.[84]
"
45,2019-10-02,"North Korea test-fired a new-type submarine-launched ballistic missile (SLBM) in the waters off Wonsan. The Republic of Korea Armed Forces said the missile, which was dubbed Pukguksong-3, flew about 450 kilometers and reached a maximum altitude of 910 kilometers, making it an intermediate-range ballistic missile. It fell into the exclusive economic zone of Japan off Shimane Prefecture. North Korea said the launch was successful.[85][86]
"
